
Sense HAT Test Program ...

Raspberry UTC Start2021-10-24 10:38:35.053102
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-24 10:38:40.686764 , -16.6906647, -1.8691555, -32.5834379, 0.0022583, -0.2822266, 1.0217285, -0.2439024, -0.3048780, -0.0304878, -282.7500000, -149.0000000, -74.8750000
2021-10-24 10:38:40.893191 , -16.4686551, -1.4947495, -32.1834144, 0.0005493, -0.2809448, 1.0215454, -0.4878049, 0.0304878, -0.0914634, -280.0000000, -150.2500000, -74.5000000
2021-10-24 10:38:41.098744 , -16.2730226, -1.2299593, -31.7703256, 0.0034180, -0.2811279, 1.0230713, -0.0914634, 0.0914634, 0.0304878, -285.5000000, -150.7500000, -75.1250000
2021-10-24 10:38:41.304947 , -16.1228196, -0.9832540, -31.3339867, -0.0004272, -0.2798462, 1.0225220, -0.3963415, 0.0000000, -0.0609756, -285.0000000, -147.5000000, -73.5000000
2021-10-24 10:38:41.511232 , -15.9878700, -0.8278317, -31.1150612, 0.0036621, -0.2812500, 1.0217285, -0.0914634, -0.0914634, 0.0609756, -283.3750000, -150.7500000, -74.1250000
2021-10-24 10:38:41.716992 , -15.8775899, -0.7029643, -30.8681566, 0.0035400, -0.2801514, 1.0236816, -0.2743902, 0.0609756, -0.1219512, -284.2500000, -148.0000000, -76.3750000
2021-10-24 10:38:41.923654 , -15.8012217, -0.5835694, -30.6616409, 0.0014038, -0.2810669, 1.0222168, -0.2743902, -0.1219512, 0.0304878, -284.8750000, -148.3750000, -76.5000000
2021-10-24 10:38:42.129438 , -15.7110432, -0.5008105, -30.5100692, 0.0010986, -0.2783203, 1.0194092, -0.2439024, -0.4878049, -0.0609756, -285.8750000, -150.1250000, -74.1250000
2021-10-24 10:38:42.335753 , -15.6498004, -0.4298218, -30.3774227, 0.0022583, -0.2793579, 1.0227051, -0.4268293, -0.0914634, 0.0000000, -286.0000000, -149.3750000, -75.5000000
2021-10-24 10:38:42.541832 , -15.6420761, -0.3737345, -30.2939480, 0.0015869, -0.2824707, 1.0197144, -0.4268293, -0.3048780, 0.0000000, -283.2500000, -148.1250000, -77.0000000
2021-10-24 10:38:42.746814 , -15.6209359, -0.3548845, -30.1249870, 0.0048218, -0.2818604, 1.0237427, -0.3658537, 0.0609756, 0.0000000, -285.1250000, -146.7500000, -73.7500000
2021-10-24 10:38:42.953181 , -15.6743006, -0.2881346, -29.9819908, 0.0006714, -0.2849121, 1.0191650, -0.8536585, 0.0609756, 0.1524390, -284.3750000, -145.8750000, -75.0000000
2021-10-24 10:38:43.158799 , -15.5627999, -0.2753327, -30.0229515, 0.0034180, -0.2763062, 1.0228271, -0.2743902, -0.2743902, 0.0609756, -285.2500000, -151.3750000, -74.6250000
2021-10-24 10:38:43.365100 , -15.5103569, -0.2661649, -30.0867449, 0.0031738, -0.2795410, 1.0218506, -0.2134146, -0.3353659, -0.0914634, -284.8750000, -151.3750000, -77.0000000
2021-10-24 10:38:43.571482 , -15.4995583, -0.2143150, -30.0644816, 0.0004883, -0.2803955, 1.0219116, -0.4878049, 0.0000000, 0.0609756, -282.2500000, -148.3750000, -74.2500000
2021-10-24 10:38:43.776844 , -15.4736404, -0.2063629, -29.9651335, 0.0017090, -0.2792969, 1.0227051, -0.2743902, -0.2743902, -0.0304878, -284.2500000, -146.1250000, -77.2500000
2021-10-24 10:38:43.983072 , -15.4641648, -0.1987036, -30.0229849, 0.0031738, -0.2815552, 1.0213623, -0.1829268, -0.0609756, 0.0000000, -282.2500000, -150.0000000, -74.5000000
2021-10-24 10:38:44.188563 , -15.4560686, -0.2023740, -30.0683942, 0.0032349, -0.2804565, 1.0220947, -0.4573171, -0.2439024, 0.0000000, -285.3750000, -151.6250000, -75.7500000
2021-10-24 10:38:44.394682 , -15.4656975, -0.1723663, -29.9343053, 0.0014648, -0.2807007, 1.0222168, -0.3963415, 0.2134146, 0.0304878, -283.1250000, -145.1250000, -74.3750000
2021-10-24 10:38:44.601152 , -15.4357980, -0.1472406, -30.1197776, 0.0011597, -0.2807007, 1.0214233, -0.1829268, -0.1829268, -0.0304878, -284.3750000, -154.0000000, -78.8750000
2021-10-24 10:38:44.807043 , -15.4238987, -0.1794034, -30.1653284, 0.0039062, -0.2796021, 1.0222778, -0.4573171, -0.4268293, -0.0609756, -283.0000000, -151.5000000, -73.5000000
2021-10-24 10:38:45.013567 , -15.4042560, -0.1893594, -30.0882221, 0.0034790, -0.2782593, 1.0241699, -0.4573171, -0.0914634, 0.0000000, -285.6250000, -149.0000000, -75.0000000
2021-10-24 10:38:45.219470 , -15.4169314, -0.1873695, -30.0665171, 0.0026855, -0.2817383, 1.0220337, -0.1829268, -0.1219512, -0.0609756, -283.7500000, -149.1250000, -74.7500000
2021-10-24 10:38:45.426121 , -15.4118399, -0.1733283, -30.0409358, 0.0021973, -0.2802124, 1.0232544, -0.3048780, 0.0000000, 0.0304878, -287.8750000, -150.8750000, -76.6250000
2021-10-24 10:38:45.631875 , -15.4239198, -0.1568648, -30.0392682, 0.0012817, -0.2811890, 1.0217896, -0.3658537, -0.1524390, 0.0609756, -280.6250000, -147.3750000, -76.1250000
2021-10-24 10:38:45.837299 , -15.4089343, -0.1820312, -30.0416992, 0.0039062, -0.2791138, 1.0220947, -0.3658537, -0.2743902, -0.0609756, -283.7500000, -149.3750000, -75.6250000
2021-10-24 10:38:46.044007 , -15.4215754, -0.1980449, -30.0189431, 0.0039673, -0.2811890, 1.0239868, -0.4573171, -0.1524390, -0.0609756, -285.7500000, -149.8750000, -75.1250000
2021-10-24 10:38:46.249823 , -15.4538632, -0.2003025, -29.9084510, 0.0039673, -0.2821045, 1.0228271, -0.4878049, 0.1219512, 0.0609756, -288.1250000, -149.0000000, -72.8750000
2021-10-24 10:38:46.456253 , -15.4436362, -0.2197462, -29.8770479, 0.0042725, -0.2796631, 1.0213623, -0.3658537, -0.2439024, 0.0000000, -285.6250000, -148.8750000, -74.5000000
2021-10-24 10:38:46.661989 , -15.4508031, -0.2458302, -29.8466582, 0.0057373, -0.2822876, 1.0242310, -0.2439024, -0.0914634, -0.0609756, -287.1250000, -149.5000000, -74.2500000
2021-10-24 10:38:46.888101 , -15.4665932, -0.2098203, -29.8763279, 0.0021973, -0.2821045, 1.0214844, -0.4268293, 0.1524390, 0.0000000, -284.6250000, -149.8750000, -73.6250000
2021-10-24 10:38:47.094373 , -15.4582983, -0.1728680, -29.9675650, 0.0011597, -0.2820435, 1.0223389, -0.1829268, 0.0000000, 0.0304878, -280.5000000, -149.6250000, -73.7500000
2021-10-24 10:38:47.309238 , -15.4640607, -0.1834465, -29.9153589, 0.0021362, -0.2806396, 1.0228882, -0.5487805, -0.4268293, -0.0609756, -281.7500000, -146.6250000, -73.3750000
