
Sense HAT Test Program ...

Raspberry UTC Start2021-10-24 10:44:54.688334
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-24 10:44:55.384844 , 5.7663668, -8.6924139, -174.0635575, 0.0623779, 0.0086670, -0.9890137, -0.0914634, 0.4878049, 0.2134146, -50.2500000, -282.6250000, -276.0000000
2021-10-24 10:44:56.081480 , 12.4299680, -17.7669237, -170.7064464, 0.0604858, 0.0142212, -0.9965820, -0.3048780, -0.0609756, 0.0914634, -46.6250000, -277.0000000, -273.5000000
2021-10-24 10:44:56.778109 , 20.2763385, -26.4238767, -170.2446999, 0.0567627, 0.0145264, -0.9935913, -0.1829268, -0.0304878, 0.1219512, -48.0000000, -279.8750000, -275.3750000
2021-10-24 10:44:57.474891 , 29.5139261, -34.2006968, -172.6768732, 0.0597534, 0.0130005, -0.9948120, -0.3963415, 0.0609756, 0.1524390, -44.3750000, -283.0000000, -275.7500000
2021-10-24 10:44:58.171193 , 40.2709866, -40.9706195, -178.0249836, 0.0606079, 0.0139771, -0.9948730, -0.3048780, 0.0914634, 0.2134146, -46.3750000, -280.5000000, -276.5000000
2021-10-24 10:44:58.897006 , 52.9210886, -46.7820788, 173.6359283, 0.0595703, 0.0145264, -0.9934082, -0.3353659, 0.0914634, 0.1829268, -50.0000000, -282.2500000, -273.6250000
2021-10-24 10:44:59.603495 , 67.7523368, -51.4178307, 161.8830083, 0.0590210, 0.0144043, -0.9932861, -0.3353659, 0.0304878, 0.1524390, -45.5000000, -282.5000000, -276.3750000
2021-10-24 10:45:00.299411 , 85.0650656, -54.2939246, 146.5509130, 0.0596924, 0.0133667, -0.9940186, -0.3353659, 0.0609756, 0.1219512, -46.2500000, -278.1250000, -274.8750000
2021-10-24 10:45:01.015578 , 103.8932786, -54.5132114, 128.9513215, 0.0596313, 0.0138550, -0.9939575, -0.3658537, 0.0609756, 0.2439024, -49.3750000, -281.8750000, -274.7500000
2021-10-24 10:45:01.709328 , 121.5029858, -51.7101189, 112.0670258, 0.0599976, 0.0134888, -0.9942017, -0.3658537, 0.0609756, 0.1219512, -47.0000000, -282.3750000, -275.3750000
2021-10-24 10:45:02.406027 , 135.6868801, -46.5148382, 98.3558193, 0.0595093, 0.0128784, -0.9949341, -0.3048780, 0.0304878, 0.1219512, -45.7500000, -280.5000000, -278.7500000
2021-10-24 10:45:03.102914 , 146.1926413, -40.1232894, 88.4820648, 0.0593872, 0.0136719, -0.9939575, -0.4268293, 0.0609756, 0.1829268, -47.8750000, -282.6250000, -275.3750000
2021-10-24 10:45:03.799322 , 153.8522458, -33.5762112, 81.8060143, 0.0595093, 0.0139160, -0.9942627, -0.3353659, 0.0304878, 0.1829268, -45.1250000, -282.5000000, -274.0000000
2021-10-24 10:45:04.495742 , 159.5084115, -27.5708815, 77.2954082, 0.0609131, 0.0136108, -0.9940186, -0.3353659, 0.0304878, 0.2134146, -49.1250000, -280.7500000, -276.0000000
2021-10-24 10:45:05.192355 , 163.8029953, -22.4687258, 74.4623638, 0.0598755, 0.0139160, -0.9942627, -0.3658537, 0.0609756, 0.1829268, -48.1250000, -281.5000000, -276.8750000
2021-10-24 10:45:05.889006 , 167.1637333, -18.3842355, 72.8162163, 0.0590210, 0.0132446, -0.9951172, -0.3353659, 0.0914634, 0.2134146, -47.1250000, -284.1250000, -274.6250000
2021-10-24 10:45:06.585566 , 169.8035295, -15.2118347, 71.9374098, 0.0592041, 0.0137939, -0.9949951, -0.3353659, 0.0914634, 0.2134146, -44.8750000, -281.6250000, -275.8750000
2021-10-24 10:45:07.281895 , 171.8869702, -12.7752409, 71.5091204, 0.0599976, 0.0136108, -0.9948120, -0.3048780, 0.0304878, 0.1219512, -46.5000000, -281.8750000, -275.6250000
2021-10-24 10:45:07.978562 , 173.5422230, -10.8994246, 71.3494417, 0.0591431, 0.0125122, -0.9957275, -0.3353659, 0.0609756, 0.1524390, -48.1250000, -282.3750000, -277.0000000
2021-10-24 10:45:08.674448 , 174.8465633, -9.4934427, 71.3894396, 0.0593872, 0.0132446, -0.9946899, -0.3048780, 0.0609756, 0.1829268, -46.5000000, -276.2500000, -274.8750000
2021-10-24 10:45:09.370732 , 175.8775191, -8.4345891, 71.5536893, 0.0594482, 0.0130615, -0.9945679, -0.3353659, 0.0914634, 0.1829268, -47.1250000, -277.1250000, -272.7500000
2021-10-24 10:45:10.067343 , 176.6893123, -7.6463568, 71.8264494, 0.0588379, 0.0133057, -0.9941406, -0.3963415, 0.0914634, 0.1524390, -47.0000000, -281.7500000, -273.1250000
2021-10-24 10:45:10.763823 , 177.3178927, -6.9897006, 72.0779985, 0.0582275, 0.0130005, -0.9940186, -0.3658537, 0.0914634, 0.1524390, -48.5000000, -281.2500000, -276.6250000
2021-10-24 10:45:11.461510 , 177.8159774, -6.5343413, 72.4047729, 0.0593262, 0.0133057, -0.9934082, -0.3658537, 0.0609756, 0.1219512, -46.6250000, -281.2500000, -273.8750000
2021-10-24 10:45:12.177924 , 178.1813973, -6.1230690, 72.6938051, 0.0582275, 0.0142212, -0.9945679, -0.3658537, 0.0609756, 0.1524390, -48.2500000, -281.8750000, -274.1250000
2021-10-24 10:45:12.884844 , 178.5035297, -5.8644876, 73.0308119, 0.0598755, 0.0122070, -0.9943237, -0.3353659, 0.0304878, 0.1829268, -45.2500000, -281.0000000, -275.7500000
2021-10-24 10:45:13.581126 , 178.7206125, -5.6009340, 73.3172925, 0.0591431, 0.0138550, -0.9946899, -0.3048780, 0.0609756, 0.1524390, -46.7500000, -279.7500000, -273.0000000
2021-10-24 10:45:14.273471 , 178.8944537, -5.4048787, 73.6058958, 0.0596313, 0.0132446, -0.9940186, -0.3658537, 0.0609756, 0.1829268, -45.8750000, -280.5000000, -275.3750000
2021-10-24 10:45:14.969640 , 179.0208114, -5.2104541, 73.8466297, 0.0594482, 0.0131226, -0.9937744, -0.3658537, 0.0609756, 0.2134146, -46.6250000, -281.0000000, -280.6250000
2021-10-24 10:45:15.665957 , 179.0968920, -5.0073958, 74.0459598, 0.0588989, 0.0141602, -0.9939575, -0.3048780, 0.0914634, 0.1829268, -48.6250000, -280.1250000, -274.7500000
2021-10-24 10:45:16.362494 , 179.1593283, -4.8896601, 74.2811298, 0.0595093, 0.0142822, -0.9947510, -0.3658537, 0.1219512, 0.1524390, -46.6250000, -280.7500000, -278.1250000
2021-10-24 10:45:17.058835 , 179.2176418, -4.7908423, 74.5301611, 0.0582275, 0.0139160, -0.9933472, -0.3048780, 0.0304878, 0.1829268, -45.0000000, -278.5000000, -274.0000000
2021-10-24 10:45:17.755768 , 179.2701492, -4.6998147, 74.7433851, 0.0595093, 0.0124512, -0.9944458, -0.3658537, 0.0914634, 0.1829268, -46.1250000, -281.1250000, -276.1250000
2021-10-24 10:45:18.452212 , 179.2743630, -4.5307756, 74.8552521, 0.0592651, 0.0137329, -0.9944458, -0.3048780, 0.0609756, 0.1829268, -49.6250000, -279.2500000, -275.3750000
2021-10-24 10:45:19.148678 , 179.2924460, -4.4321869, 75.0116032, 0.0588379, 0.0133057, -0.9944458, -0.3048780, 0.0609756, 0.1829268, -48.6250000, -282.1250000, -274.6250000
2021-10-24 10:45:19.844926 , 179.3185327, -4.3879281, 75.2030686, 0.0588989, 0.0125732, -0.9949951, -0.3963415, 0.0609756, 0.1219512, -45.8750000, -279.5000000, -276.1250000
2021-10-24 10:45:20.541463 , 179.3447995, -4.3720917, 75.4100319, 0.0594482, 0.0123901, -0.9946899, -0.3658537, 0.0609756, 0.1524390, -45.3750000, -282.6250000, -273.5000000
2021-10-24 10:45:21.237900 , 179.3414679, -4.2841470, 75.5457765, 0.0584717, 0.0131836, -0.9946289, -0.3353659, 0.0609756, 0.1524390, -47.1250000, -281.7500000, -275.8750000
