
Sense HAT Test Program ...

Raspberry UTC Start2021-10-24 10:34:31.420513
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-24 10:34:31.705400 , -3.3000204, -4.8415260, -170.8890812, 0.2314453, -0.2055054, 0.9232788, -55.5792683, 20.6402439, -46.3414634, -86.0000000, -244.0000000, -55.0000000
2021-10-24 10:34:31.950794 , -5.1902166, -7.5655752, -156.5414302, 0.1882324, -0.2993164, 1.0067139, -2.7743902, 12.0731707, 51.3414634, -87.1250000, -249.5000000, -51.3750000
2021-10-24 10:34:32.206390 , -7.1179990, -9.0472963, -142.4170611, 0.1361084, -0.3030396, 1.0292969, -3.1097561, 6.9512195, 47.1646341, -87.7500000, -250.8750000, -54.7500000
2021-10-24 10:34:32.453840 , -8.9694117, -10.0598248, -126.4269292, 0.2369995, -0.2133179, 1.1062622, -11.4939024, 1.4024390, 102.3780488, -93.7500000, -247.3750000, -42.7500000
2021-10-24 10:34:32.709176 , -10.9312640, -8.3624701, -113.2533554, 0.0882568, -0.2526245, 0.9341431, -10.0609756, 13.5060976, 62.3780488, -107.1250000, -234.0000000, -33.8750000
2021-10-24 10:34:32.975163 , -11.4323115, -6.5382352, -101.3846305, 0.1864624, -0.2420044, 0.9643555, 8.9939024, 32.8048780, 67.8963415, -115.8750000, -235.1250000, -25.6250000
2021-10-24 10:34:33.231655 , -13.8923396, -6.3423846, -92.7652766, 0.1800537, -0.3008423, 1.0072632, -27.9878049, 3.6890244, 34.3292683, -108.3750000, -241.7500000, -29.6250000
2021-10-24 10:34:33.476777 , -11.0043318, -4.6300365, -85.1633984, 0.0449829, -0.0922241, 1.0313721, 25.1219512, 6.3719512, 39.2682927, -124.1250000, -237.8750000, -29.6250000
2021-10-24 10:34:33.723458 , -9.8033111, -3.7469816, -76.5436589, 0.2040405, -0.1642456, 0.9372559, 26.7682927, 42.5000000, 70.2134146, -157.2500000, -231.5000000, -35.8750000
2021-10-24 10:34:33.970025 , -5.6088908, -1.6151687, -63.7435930, 0.0023193, 0.0869751, 0.8711548, 36.4329268, 6.4024390, 184.6951220, -180.8750000, -232.1250000, -37.2500000
2021-10-24 10:34:34.216651 , -11.2816213, -6.4213984, -62.5441887, 0.1810303, 0.0223389, 1.0003662, -146.4024390, -58.1707317, -8.9634146, -182.0000000, -278.7500000, -55.0000000
2021-10-24 10:34:34.463069 , -17.3944507, -5.2707928, -57.1699344, -0.0388184, -0.4093628, 0.9343872, -65.9451220, -30.8536585, 82.9878049, -203.0000000, -298.8750000, -83.3750000
2021-10-24 10:34:34.709430 , -23.2975855, -0.7608560, -54.2988114, -0.2122192, -0.8140259, 0.8029785, -3.7195122, 10.9756098, 53.0182927, -223.3750000, -300.1250000, -96.6250000
2021-10-24 10:34:34.957037 , -27.8130316, 2.6769935, -52.5054871, -0.1917725, -0.7752075, 0.7783813, -1.8292683, 5.6097561, 48.1402439, -223.7500000, -300.3750000, -97.0000000
2021-10-24 10:34:35.203613 , -31.3757022, 5.6508005, -51.1988617, -0.1896362, -0.7835693, 0.7742310, 0.4878049, 6.7987805, 53.5060976, -222.7500000, -299.1250000, -102.3750000
2021-10-24 10:34:35.450328 , -34.1514281, 7.9755063, -50.3894509, -0.1935425, -0.7846680, 0.7974854, -1.3719512, 6.2804878, 52.3170732, -223.0000000, -301.5000000, -98.6250000
2021-10-24 10:34:35.695928 , -35.2593075, 8.0423677, -49.5338190, -0.1271362, -0.7456055, 0.7850952, 16.8597561, -15.3048780, 43.8719512, -224.3750000, -301.8750000, -100.1250000
2021-10-24 10:34:35.942624 , -38.9256970, 9.4927389, -49.9736317, -0.2068481, -0.8400269, 0.7813110, -20.4573171, 5.7317073, 43.1097561, -204.6250000, -298.5000000, -88.3750000
2021-10-24 10:34:36.189150 , -36.1682727, 9.4402476, -49.2581353, 0.0111694, -0.9725952, 1.2177124, 58.3841463, 14.1768293, 74.9390244, -170.6250000, -273.1250000, -59.0000000
2021-10-24 10:34:36.434355 , -41.8470794, -0.2693161, -59.6745223, 0.2896118, -0.6282349, 0.7317505, -66.5853659, 30.8536585, -108.5975610, -84.2500000, -288.1250000, -60.0000000
2021-10-24 10:34:36.681369 , -38.2111642, 0.3079464, -63.1673275, 0.3353271, -0.6859131, 1.2937012, 22.9878049, 84.5731707, 37.5000000, -76.2500000, -258.3750000, -61.0000000
2021-10-24 10:34:36.927428 , -34.6180890, -1.9466578, -63.3117252, 0.3438110, -0.7138062, 1.2534180, 42.0426829, 2.9268293, 40.5487805, -75.2500000, -234.1250000, -57.8750000
2021-10-24 10:34:37.173632 , -32.3400388, -2.5598092, -62.9372503, 0.1958618, -0.4160156, 0.9920654, 0.1219512, 7.0121951, 49.4817073, -79.0000000, -232.5000000, -57.5000000
2021-10-24 10:34:37.419991 , -30.3777150, -3.2860343, -62.8862857, 0.2058716, -0.4036255, 0.9956055, 1.1890244, 6.4024390, 49.6951220, -74.1250000, -233.7500000, -60.6250000
2021-10-24 10:34:37.666302 , -28.8847343, -3.7425643, -62.7847769, 0.1977539, -0.4038086, 0.9978027, -0.0914634, 7.3170732, 49.2987805, -74.5000000, -231.6250000, -57.0000000
2021-10-24 10:34:37.913015 , -27.7096434, -4.1053690, -62.7224414, 0.1943359, -0.4023438, 0.9976196, -0.1829268, 7.1646341, 49.4207317, -74.3750000, -235.6250000, -55.8750000
2021-10-24 10:34:38.159899 , -26.8036137, -4.4583503, -62.6427888, 0.2005615, -0.4031982, 0.9973755, -0.3658537, 7.2560976, 49.3597561, -74.7500000, -234.6250000, -55.8750000
2021-10-24 10:34:38.406240 , -26.0611871, -4.6929803, -62.3640325, 0.2001953, -0.4017944, 0.9963379, -0.2439024, 7.1341463, 49.4512195, -78.3750000, -230.5000000, -56.5000000
2021-10-24 10:34:38.652654 , -25.4809304, -4.9074584, -62.2783333, 0.1986694, -0.3998413, 0.9966431, -0.4573171, 7.1036585, 49.4512195, -76.2500000, -233.8750000, -57.0000000
2021-10-24 10:34:38.898950 , -25.0186662, -5.0461913, -62.0735851, 0.1983643, -0.3999634, 0.9962158, -0.4573171, 7.1036585, 49.4512195, -78.2500000, -230.0000000, -57.3750000
2021-10-24 10:34:39.145300 , -24.6605443, -5.2307275, -62.1069018, 0.1987915, -0.3991699, 0.9979858, -0.3353659, 7.1036585, 49.4207317, -74.3750000, -235.0000000, -54.6250000
2021-10-24 10:34:39.391253 , -24.3781370, -5.3345926, -62.1248517, 0.1986084, -0.3997803, 0.9971924, -0.3963415, 7.1341463, 49.4817073, -74.0000000, -229.5000000, -58.1250000
2021-10-24 10:34:39.637155 , -24.1413567, -5.3931304, -61.9784492, 0.1978149, -0.3983154, 0.9960327, -0.4268293, 7.1341463, 49.4512195, -78.0000000, -231.7500000, -57.7500000
